REGISTRO,AYUNTAMIENTO,DATE,INMUEBLE,LOCALIDAD,YEAR,latitude,longitude
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Elorz,02/03/2004,Parroquia Ntra. Señora, ,2004.0,42.7332422,-1.5613933
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Elorz,02/03/2004,Parroquia La Asunción,Ezperun,2004.0,42.7329381,-1.6083957
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Elorz,02/03/2004,Parroquia S. Martin,Imarcoain,2004.0,42.7377743,-1.61574727407807
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Elorz,02/03/2004,Parroquia S. Miguel,Noain ,2004.0,42.7627828,-1.6341152
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Elorz,02/03/2004,Parroquia S. Salvador,Otano,2004.0,42.7137473,-1.5682555
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Elorz,02/03/2004,Parroquia S. Pedro,Torres de Elorz,2004.0,42.7332699,-1.5968967
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Elorz,02/03/2004,Parroquia La Natividad,Yarnoz ,2004.0,42.71263785,-1.54905513504443
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Elorz,02/03/2004,Parroquia La Purificacion,Zabalegui,2004.0,42.7341706,-1.5807594
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Elorz,02/03/2004,Parroquia S. Esteban,Zulueta,2004.0,42.7453593,-1.5800028
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Ibargoiti,02/03/2004,Parroquia San Clemente,Izco,2004.0,42.6568296,-1.4283454
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Monreal ,02/03/2004,Parroquia La Natividad,,2004.0,42.7064063,-1.51621045196067
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Tiebas,02/03/2004,Parroquia S. Esteban,Muruarte de Reta ,2004.0,,
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Tiebas,02/03/2004,Casa Parroquial,Muruarte de Reta ,2004.0,,
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Tiebas,02/03/2004,Ermita Sto. Cristo,Muruarte de Reta ,2004.0,,
